Condition,df,mse,p_value,se,t,theta,Source,Detector,Chroma,Significant,ch_name
arith1,19.0,1.5363113809832764e-11,0.7028412124926592,5.662413559663771e-06,0.3872960771428977,2.19303055881853e-06,3,1,hbo,False,S3_D1 hbo
constant_run1,19.0,1.5363113809832764e-11,0.41208675111301907,7.437123109156523e-06,-0.8386613713707115,-6.23722786577802e-06,3,1,hbo,False,S3_D1 hbo
constant_run2,19.0,1.5363113809832764e-11,0.0029669648215039754,7.867263508769595e-06,3.4055526984136253,2.679238047142134e-05,3,1,hbo,True,S3_D1 hbo
constant_run3,19.0,1.5363113809832764e-11,0.9012880574783431,7.848021030443698e-06,-0.125702435611026,-9.86515358253327e-07,3,1,hbo,False,S3_D1 hbo
constant_run4,19.0,1.5363113809832764e-11,0.001620192357821905,8.012884070817459e-06,3.671916206817816,2.9422638882986944e-05,3,1,hbo,True,S3_D1 hbo
control,19.0,1.5363113809832764e-11,2.9057428530334357e-06,5.66522963754098e-06,-6.540326295531578,-3.70524503686341e-05,3,1,hbo,True,S3_D1 hbo
drift_1_run1,19.0,1.5363113809832764e-11,0.19560345445731034,0.00027098692869793623,-1.3414062334464092,-0.0003635035553379093,3,1,hbo,False,S3_D1 hbo
drift_1_run2,19.0,1.5363113809832764e-11,0.8340925296560138,0.0002950090084382676,0.21235387447959544,6.264630594824979e-05,3,1,hbo,False,S3_D1 hbo
drift_1_run3,19.0,1.5363113809832764e-11,0.12223656617102342,0.00029536799093332443,1.6175716791689299,0.00047777889706677085,3,1,hbo,False,S3_D1 hbo
drift_1_run4,19.0,1.5363113809832764e-11,0.21557032044190752,0.00030754957603993895,1.2811134360537448,0.00039400589411739867,3,1,hbo,False,S3_D1 hbo
drift_2_run1,19.0,1.5363113809832764e-11,0.0001156073263586778,0.00024906439931388785,-4.832842085235484,-0.001203688910938053,3,1,hbo,True,S3_D1 hbo
drift_2_run2,19.0,1.5363113809832764e-11,0.9334394325065021,0.00027977496994119864,0.08463190568118002,2.36778888680185e-05,3,1,hbo,False,S3_D1 hbo
drift_2_run3,19.0,1.5363113809832764e-11,0.008091562865685917,0.00028025410587310707,-2.9572408180682803,-0.0008287788813191815,3,1,hbo,True,S3_D1 hbo
drift_2_run4,19.0,1.5363113809832764e-11,0.5381859424105286,0.00029651783310394043,0.6268992807778008,0.0001858868163106522,3,1,hbo,False,S3_D1 hbo
drift_3_run1,19.0,1.5363113809832764e-11,0.005833507696963105,0.0002585803375295463,-3.1047130791832864,-0.0008028177559476113,3,1,hbo,True,S3_D1 hbo
drift_3_run2,19.0,1.5363113809832764e-11,0.7265060151465796,0.0002787060031861882,0.35499154526238597,9.893827474496843e-05,3,1,hbo,False,S3_D1 hbo
drift_3_run3,19.0,1.5363113809832764e-11,0.23971826783247466,0.00027954153136801183,-1.2137436245126116,-0.0003392917514844166,3,1,hbo,False,S3_D1 hbo
drift_3_run4,19.0,1.5363113809832764e-11,0.03012773330893391,0.0002900205573790345,2.3435882793256506,0.0006796887790369976,3,1,hbo,True,S3_D1 hbo
arith,19.0,5.068499334714274e-13,0.00015074908918755452,1.028742734993773e-06,-4.714953794283471,-4.850474461700445e-06,3,1,hbr,True,S3_D1 hbr
arith1,19.0,5.068499334714274e-13,0.5440911120831553,1.0284937533107161e-06,0.6177236506670771,6.353249159833798e-07,3,1,hbr,False,S3_D1 hbr
constant_run1,19.0,5.068499334714274e-13,0.921555717091936,1.350843519247373e-06,0.0997909359515842,1.348019391098272e-07,3,1,hbr,False,S3_D1 hbr
constant_run2,19.0,5.068499334714274e-13,0.2458095817851686,1.4289721669321757e-06,-1.1975760458317448,-1.7113028372782548e-06,3,1,hbr,False,S3_D1 hbr
constant_run3,19.0,5.068499334714274e-13,0.14577644570851753,1.4254770550778631e-06,1.5168121690953928,2.1621809439083664e-06,3,1,hbr,False,S3_D1 hbr
constant_run4,19.0,5.068499334714274e-13,0.34555787015845474,1.4554219902878398e-06,-0.9672767306193176,-1.407795824437082e-06,3,1,hbr,False,S3_D1 hbr
control,19.0,5.068499334714274e-13,0.0007366544896244549,1.0290052522457598e-06,4.017211176029651,4.133731399514877e-06,3,1,hbr,True,S3_D1 hbr
drift_1_run1,19.0,5.068499334714274e-13,0.9926559377739195,4.922077140039083e-05,-0.009326413901684294,-4.590532866402298e-07,3,1,hbr,False,S3_D1 hbr
drift_1_run2,19.0,5.068499334714274e-13,0.643343304859991,5.3584027226574206e-05,0.4705151904213962,2.521209877405684e-05,3,1,hbr,False,S3_D1 hbr
drift_1_run3,19.0,5.068499334714274e-13,0.06827936599212305,5.364923109235044e-05,1.9330039264666259,0.0001037041743534288,3,1,hbr,False,S3_D1 hbr
drift_1_run4,19.0,5.068499334714274e-13,0.9878850231525573,5.586183602760703e-05,-0.015385525484989053,-8.594637018410277e-07,3,1,hbr,False,S3_D1 hbr
drift_2_run1,19.0,5.068499334714274e-13,0.6664543624516109,4.523886787273624e-05,-0.4378187354597689,-1.9806423925672947e-05,3,1,hbr,False,S3_D1 hbr
drift_2_run2,19.0,5.068499334714274e-13,0.022054697089080037,5.081698923705994e-05,-2.4931884869174166,-0.00012669633250564412,3,1,hbr,True,S3_D1 hbr
drift_2_run3,19.0,5.068499334714274e-13,0.006182183816492366,5.090401719921108e-05,3.0786540530871846,0.00015671585886877098,3,1,hbr,True,S3_D1 hbr
drift_2_run4,19.0,5.068499334714274e-13,0.031252453140406984,5.385808293217297e-05,-2.3257976649952816,-0.00012526300352477013,3,1,hbr,True,S3_D1 hbr
drift_3_run1,19.0,5.068499334714274e-13,0.00033872577705413854,4.696729743878097e-05,-4.357802618399749,-0.0002046742117578795,3,1,hbr,True,S3_D1 hbr
drift_3_run2,19.0,5.068499334714274e-13,0.38362564174256675,5.0622827221438746e-05,-0.8918569346132933,-4.514831950717074e-05,3,1,hbr,False,S3_D1 hbr
drift_3_run3,19.0,5.068499334714274e-13,0.08993295618420624,5.077458856961052e-05,-1.7868195493110968,-9.072502746440783e-05,3,1,hbr,False,S3_D1 hbr
drift_3_run4,19.0,5.068499334714274e-13,0.6534805898648912,5.267794880276122e-05,-0.45611105714507744,-2.4026994916661687e-05,3,1,hbr,False,S3_D1 hbr
arith,19.0,1.9513128127790608e-11,4.983793389125216e-07,6.3830835995090925e-06,-7.424873530593628,-4.739358846156136e-05,1,2,hbo,True,S1_D2 hbo
arith1,19.0,1.9513128127790608e-11,0.20533919154079225,6.381538732319621e-06,-1.3114327919811957,-8.36895915686206e-06,1,2,hbo,False,S1_D2 hbo
constant_run1,19.0,1.9513128127790608e-11,0.651440504962044,8.381635971663261e-06,-0.45900182051504707,-3.8471861698878425e-06,1,2,hbo,False,S1_D2 hbo
constant_run2,19.0,1.9513128127790608e-11,0.003994403011874865,8.866404099519547e-06,3.2737698451256274,2.9026566375705338e-05,1,2,hbo,True,S1_D2 hbo
constant_run3,19.0,1.9513128127790608e-11,0.0719752530439879,8.844717831031977e-06,1.9053986616912062,1.6852713518284676e-05,1,2,hbo,False,S1_D2 hbo
constant_run4,19.0,1.9513128127790608e-11,0.001597254043750335,9.030518438244354e-06,3.6781740281560396,3.321581838033462e-05,1,2,hbo,True,S1_D2 hbo
control,19.0,1.9513128127790608e-11,2.781248254475563e-06,6.38471245141613e-06,-6.561673906292805,-4.189440109163999e-05,1,2,hbo,True,S1_D2 hbo
drift_1_run1,19.0,1.9513128127790608e-11,0.031260916375803964,0.0003054022040631205,-2.3256660585681104,-0.0007102635402014911,1,2,hbo,True,S1_D2 hbo
drift_1_run2,19.0,1.9513128127790608e-11,0.9967473353934198,0.0003324750822057226,-0.004130591947224245,-1.3733188972116764e-06,1,2,hbo,False,S1_D2 hbo
drift_1_run3,19.0,1.9513128127790608e-11,0.1575477034365081,0.00033287965539210176,1.4714180867380764,0.0004898051456510765,1,2,hbo,False,S1_D2 hbo
drift_1_run4,19.0,1.9513128127790608e-11,0.2988684386232931,0.0003466082989042377,1.068078311035379,0.0003702048064844841,1,2,hbo,False,S1_D2 hbo
drift_2_run1,19.0,1.9513128127790608e-11,5.390809856758047e-05,0.0002806955186717011,-5.174604518271261,-0.0014524882991770796,1,2,hbo,True,S1_D2 hbo
drift_2_run2,19.0,1.9513128127790608e-11,0.9221357849657592,0.000315306324449981,-0.09905046282680598,-3.123123736898967e-05,1,2,hbo,False,S1_D2 hbo
drift_2_run3,19.0,1.9513128127790608e-11,0.9448092690494305,0.00031584631053105795,-0.07014756724651963,-2.2155850307542507e-05,1,2,hbo,False,S1_D2 hbo
drift_2_run4,19.0,1.9513128127790608e-11,0.28456347856932546,0.00033417552724436474,1.1012038954282435,0.0003679953923582816,1,2,hbo,False,S1_D2 hbo
drift_3_run1,19.0,1.9513128127790608e-11,0.0028992723138258937,0.00029141997877298536,-3.415752671373271,-0.0009954185709853667,1,2,hbo,True,S1_D2 hbo
drift_3_run2,19.0,1.9513128127790608e-11,0.9074013286750209,0.0003141015991718319,0.1178783131486976,3.702576666768389e-05,1,2,hbo,False,S1_D2 hbo
drift_3_run3,19.0,1.9513128127790608e-11,0.4741750255373788,0.0003150432392336307,0.730201433470452,0.00023004502489357167,1,2,hbo,False,S1_D2 hbo
drift_3_run4,19.0,1.9513128127790608e-11,0.027104275432834394,0.00032685309905077496,2.394660785440247,0.0007827022988965076,1,2,hbo,True,S1_D2 hbo
arith,19.0,2.4896949293550515e-12,0.8295144464020584,2.2800278493882645e-06,0.21831106861953037,4.977553162822417e-07,1,2,hbr,False,S1_D2 hbr
arith1,19.0,2.4896949293550515e-12,0.051948960216556456,2.279476025154618e-06,2.0736559959394794,4.726849127162165e-06,1,2,hbr,False,S1_D2 hbr
constant_run1,19.0,2.4896949293550515e-12,0.15548614636422725,2.9939077470795513e-06,-1.4791621283742418,-4.42847495532632e-06,1,2,hbr,False,S1_D2 hbr
constant_run2,19.0,2.4896949293550515e-12,0.7347160368084646,3.167066192332117e-06,-0.3438757958594476,-1.089077407427757e-06,1,2,hbr,False,S1_D2 hbr
constant_run3,19.0,2.4896949293550515e-12,0.8868396793021067,3.159319889885949e-06,-0.144227462385151,-4.5566069058118515e-07,1,2,hbr,False,S1_D2 hbr
constant_run4,19.0,2.4896949293550515e-12,0.08094871438742922,3.225687586983015e-06,-1.8432548558284692,-5.94576430809206e-06,1,2,hbr,False,S1_D2 hbr
control,19.0,2.4896949293550515e-12,0.23320622445998607,2.280609672836552e-06,1.2313778230810706,2.808292174235106e-06,1,2,hbr,False,S1_D2 hbr
drift_1_run1,19.0,2.4896949293550515e-12,0.6816694956491256,0.00010908920738278049,-0.41655850181383847,-4.544203679143017e-05,1,2,hbr,False,S1_D2 hbr
drift_1_run2,19.0,2.4896949293550515e-12,0.11886764292979189,0.00011875959868597053,-1.6333007246213929,-0.00019397013858954147,1,2,hbr,False,S1_D2 hbr
drift_1_run3,19.0,2.4896949293550515e-12,0.012918590799943515,0.00011890411161889392,2.7433948090389415,0.0003262009225886605,1,2,hbr,True,S1_D2 hbr
drift_1_run4,19.0,2.4896949293550515e-12,0.08266755874630409,0.00012380796240731235,-1.8320481240275364,-0.00022682214526798834,1,2,hbr,False,S1_D2 hbr
drift_2_run1,19.0,2.4896949293550515e-12,0.3255928381513532,0.00010026401656703705,-1.0091278255415752,-0.00010117920901835856,1,2,hbr,False,S1_D2 hbr
drift_2_run2,19.0,2.4896949293550515e-12,0.9807273153496139,0.00011262694427024235,-0.024477077996848208,-2.756778499449398e-06,1,2,hbr,False,S1_D2 hbr
